Unique Private Well ID,Unique Well ID,Project,Project Code,Calibration Set Code,Well Latitude,Well Longitude,Operator Name,Well Name,Offshore Area,Offshore Block Number,Prospect,Basin,Country,State,County,Minimum Geologic Age,Maximum Geologic Age,KB Elevation,Water Depth,Ground Level,Water Depth/Ground Level Units,KB Elevation - Feet,Water Depth - Feet,Ground Level - Feet,KB Elevation - Meters,Water Depth - Meters,Ground Level - Meters,Unique Sample ID,Public Sample ID,Public Sample Canister ID,Depth,Depth Bottom,Depth Units,Sample Group,Sample Formation,Sample Member,Sample Depositional Environment,Sample Type,Sample Orientation,Sample Length,Sample Interval Length,Sample Diameter,Sample Size Units,Sample Weight Oven Dry,Sample Weight Humidity Dry,Sample Weight Air Dry,Sample Weight as Received,Sample Weight Units,Sample Bulk Volume,Sample Grain Volume,Sample Pore Volume,Sample Volume Units,CEC,CEC Units,Qv,Qv Units,Stress,Porosity,Porosity - Sidewall,Porosity - Whole Core,Permeability - Gas,Permeabiliy - Sidewall,Permeability - Klinkenberg Calculated,Permeability - Klinkenberg,Permeability - Gas Calculated,Permeability - Whole Core (Horizontal),Permeability - Whole Core (Rotated),Permeability - Whole Core (Vertical),Slippage Factor (B),Inertial Resistance Factor (Beta),Alpha,Grain Density,XRD Smectite,XRD Chlorite,XRD Illite,XRD Kaolinite,XRD Mixed-Layer,XRD Mixed-Layer Type,XRD Mixed-Layer Expandable Min,XRD Mixed-Layer Expandable Max,XRD Total Clay
INTEGER,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,STRING,STRING,DECIMAL,DECIMAL,STRING,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,STRING,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802560,,,8420,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,42,0,58,REG I/S,20,25,13.9
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802561,,,8425,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,100,0,0,,,,2.1
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802562,,,8430,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,46.9,0,53.1,REG I/S,20,25,6.6
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802563,,,8435,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,43.9,0,56.1,REG I/S,20,25,10.2
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802564,,,8440,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,0
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802565,,,8445,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,46,0,54,REG I/S,20,25,6.4
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802566,,,8450,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,0
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46802567,,,8455,,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",,RWC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,47,0,53,REG I/S,20,25,6.2
10016189,42479405770000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,27.922097,-99.866957,St. Mary,Galvan Ranch #5M,,,Galan,Maverick,USA,Texas,Webb,"Cretaceous, Late","Cretaceous, Late",,,583,feet,,,583,,,177.7,46805634,SM-GR5M-05A,,8501,8502,feet,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Upper",Basin - Restricted,WLC,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
