Unique Private Well ID,Unique Well ID,Project,Project Code,Calibration Set Code,Well Latitude,Well Longitude,Operator Name,Well Name,Offshore Area,Offshore Block Number,Prospect,Basin,Country,State,County,Minimum Geologic Age,Maximum Geologic Age,KB Elevation,Water Depth,Ground Level,Water Depth/Ground Level Units,KB Elevation - Feet,Water Depth - Feet,Ground Level - Feet,KB Elevation - Meters,Water Depth - Meters,Ground Level - Meters,Unique Sample ID,Sample Analytical Group,Public Sample ID,Public Sample Canister ID,Depth,Depth - Log Corrected,Depth Bottom,Depth Units,Depth - Feet,Depth Bottom - Feet,Depth - Meters,Depth Bottom - Meters,Sample Group,Sample Formation,Sample Member,Sample Depositional Environment,Sample Lithology,Sample Type,Sample Orientation,Sample Length,Sample Interval Length,Sample Diameter,Sample Size Units,Sample Weight Oven Dry,Sample Weight Humidity Dry,Sample Weight Air Dry,Sample Weight as Received,Sample Weight Units,Sample Bulk Volume,Sample Grain Volume,Sample Pore Volume,Sample Volume Units,Test Method Code - Dynamic,Test Method - Dynamic,Sample State - Dynamic,Sample State - Static,Porosity (Ambient) - Dynamic,Porosity (Confining Stress) - Dynamic,Porosity Units,Permeability (Ambient) - Dynamic,Permeability (Confining Stress) - Dynamic,Permeability Units,Confining Stress - Dynamic,Confining Stress - Static,Axial Stress - Dynamic,Stress Units - Dynamic,Bulk Density - Dynamic,Grain Density - Dynamic,Density Units,Brine Saturation - Dynamic,Brine Saturation - Static,Brine Saturation Units,Brine Type - Dynamic,Brine Type - Static,Brine Temperature - Dynamic,Brine Temperature units,Brine Resistivity - Dynamic,Brine Resistivity Units,Compressional Velocity - Dynamic,Shear Velocity - Dynamic,Velocity Units - Dynamic,Bulk Modulus - Dynamic,Young's Modulus - Dynamic,Young's Modulus - Static,Shear Modulus - Dynamic,Modulus Units,Poisson's Ratio - Dynamic,Poisson's Ratio - Static,Compressive Strength - Static,Compressive Strength Units,Unconfined Compressive Strength - Dynamic,Unconfined Compressive Strength Units,Unconfined Compressive Strength Notes,Pore Pressure - Static,Pore Pressure Units
INTEGER,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,INTEGER,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,STRING,INTEGER,INTEGER,INTEGER,STRING,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,STRING,STRING,STRING,DECIMAL,STRING,DECIMAL,STRING,INTEGER,INTEGER,STRING,INTEGER,INTEGER,INTEGER,INTEGER,STRING,DECIMAL,DECIMAL,INTEGER,STRING,INTEGER,STRING,STRING,INTEGER,STRING
10029575,42311341310000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.348131,-98.676039,Petrohawk Operating,Donnell Minerals 366 #1H,,,Lowe Ranch,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,352,feet,,,352,,,107.29,46812378,1004111100,,,11535.5,11551.5,,feet,11535.5,,3516.02,,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Lower",Basin - Restricted,,PLG,vertical,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,0.0741,,fraction,,,,1640,,4000,psi,2.463,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,15671,8960,feet/sec,4598202,6700887,,2665176,psi,0.257,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819613,,,,12981,12995.5,,feet,12981,,3956.61,,,,,,,PLG,vertical,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,0.0666,,fraction,,,,2980,,3000,psi,2.602,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,14120,8205,feet/sec,3843722,5879837,,2361294,psi,0.245,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819613,,,,12981,12995.5,,feet,12981,,3956.61,,,,,,,PLG,vertical,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,0.0666,,fraction,,,,2980,,10000,psi,2.602,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,15395,8534,feet/sec,4906731,6529757,,2554270,psi,0.278,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819615,,,,13251,13269.5,,feet,13251,,4038.9,,,,,,,PLG,vertical,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,0.0343,,fraction,,,,2980,,3000,psi,2.669,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,17879,9996,feet/sec,6706586,9148734,,3594383,psi,0.273,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819615,,,,13251,13269.5,,feet,13251,,4038.9,,,,,,,PLG,vertical,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,0.0343,,fraction,,,,2980,,13000,psi,2.669,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,19000,10566,feet/sec,7631486,10250782,,4016356,psi,0.276,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819686,,,,13138,13154.5,,feet,13138,,4004.46,,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Lower",Basin - Restricted,,WLC,,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,,,fraction,,,,0,,1000,psi,2.378,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,9898,5686,feet/sec,1758462,2598737,,1036433,psi,0.254,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819686,,,,13138,13154.5,,feet,13138,,4004.46,,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Lower",Basin - Restricted,,WLC,,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,,,fraction,,,,1490,,4000,psi,2.378,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,10779,6022,feet/sec,2174007,2959602,,1162354,psi,0.273,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819686,,,,13138,13154.5,,feet,13138,,4004.46,,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Lower",Basin - Restricted,,WLC,,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,,,fraction,,,,2980,,6000,psi,2.378,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,11215,6219,feet/sec,2378577,3168496,,1239647,psi,0.278,,,,,,,,
10029798,42311341390000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.229992,-98.657149,Murphy,George Miles #1H,,,Hawkville D1,Gulf Coast,USA,Texas,Mcmullen,"Cretaceous, Late","Cretaceous, Late",,,,feet,,,,,,,46819686,,,,13138,13154.5,,feet,13138,,4004.46,,Eagle Ford,Eagle Ford Shale,"Eagle Ford Shale, Lower",Basin - Restricted,,WLC,,,,,,,,,,,,,,,GMAT,Geomechanics - Dynamic Mechanical Properties (Triaxial),Fresh State,,,,fraction,,,,4470,,9000,psi,2.378,,gm/cm<sup>3</sup>,,,fraction,,,70,degrees F,,,11717,6324,feet/sec,2690611,3319000,,1282052,psi,0.294,,,,,,,,
