"Uwi","Latitude","Longitude","Core.BulkDensityDynamic.Kriged","Core.CrushedGasContent.Kriged","Core.CsgPotassiumApi.Kriged","Core.CsgThoriumApi.Kriged","Core.CsgUraniumApi.Kriged","Core.GriBulkDensity.Kriged","Core.GriGasFilledPorosity.Kriged","Core.GriMatrixPermeability.Kriged","Core.GriSaturationSg.Kriged","Core.GriSaturationSw.Kriged","Core.GriTotalPorosity.Kriged","Core.GriWaterFilledPorosity.Kriged","Core.NormalizedOil.Kriged","Core.RoCalculated.Kriged","Core.RoMeasured.Kriged","Core.S1.Kriged","Core.ShearVelocityDynamic.Kriged","Core.Toc.Kriged","Core.XrdCalcite.Kriged","Core.XrdClayChlorite.Kriged","Core.XrdClayIllite.Kriged","Core.XrdDolomite.Kriged","Core.XrdMarcasite.Kriged","Core.XrdQuartz.Kriged","Core.XrdTotalClay.Kriged","Log.DPHI.Kriged","Log.GR.Kriged","Log.NPHI.Kriged","Producer.DepthTrueVertical.Joined","Producer.DepthTrueVertical.JoinedMISSING"
"37003219820100",40.5722,-79.80728,2.50566726193673,7.45220735940021,51.176456145252,49.0623311308817,105.597672369427,2.42674858186843,6.43266054058391,0.000178340592372985,73.9521703101578,22.570365033701,8.74865851652248,1.91612522745212,14.243835990914,1.27652273025925,1.74659087256838,0.829670291483614,7170.09121335951,6.36942403976478,9.93835740509075,5.31378598139567,94.7841543801427,2.7413230979344,0.308459306107987,42.1841875599811,28.2464173159919,2.67947170176586,62.0453593077246,2.63533375588006,0,1
"37003220910000",40.64855,-79.77786,2.50654868240353,7.44075356261531,51.1700311526954,49.0623311070047,105.521140575972,2.42264530784167,6.46893641612057,0.000185616215966321,73.8744761254001,22.4666945386201,8.78078635067482,1.9176610759273,15.7908305795866,1.27652268636871,1.66336204273731,0.944435131293949,7158.12236828559,6.25286141483609,9.72197388089123,6.16090834064366,93.9379482019124,2.87134243872299,0.301018130877023,41.9080163039142,28.8100380400084,2.61945033784366,64.0266533096595,2.6205419119291,6621,0
"37003220920000",40.64868,-79.77791,2.5065474661234,7.44078639894415,51.1700225650093,49.0623311069727,105.521106976871,2.42262245174838,6.46919385926183,0.000185637574874674,73.87502029939,22.46532420417,8.78105549384088,1.91762838598694,15.7965736883788,1.27652268629627,1.6631794423913,0.944795503211623,7158.04737403531,6.25278615801806,9.72103461844963,6.16210628700479,93.9367590819451,2.87162626614194,0.301020504411176,41.9080043429768,28.8112044665199,2.61956784863118,64.0243120472107,2.61993291711879,6594,0
"37003221930000",40.57301,-79.80715,2.5056723561511,7.45221328684564,51.1763921273831,49.0623311306437,105.597010419828,2.42667409678124,6.43343303266896,0.000178430664726655,73.9525623704235,22.5670612933237,8.74942558893503,1.9160818646858,14.2660941861252,1.27652272979738,1.74557054462701,0.831148789439671,7169.85790024408,6.3681598914969,9.93419565829903,5.32324448346596,94.7746291548821,2.74268744139129,0.308393975014978,42.1823260398188,28.2535395386713,2.67905564288277,62.0499374431638,2.63449701198783,7050,0
"37003221940000",40.57305,-79.80706,2.50567466375587,7.45217242731705,51.1763869102908,49.0623311306236,105.59690429682,2.42668040610316,6.43334502961867,0.000178429614139968,73.9521617759958,22.5676797291772,8.74932279656972,1.91610389825574,14.2650307968674,1.27652272977018,1.74554602752067,0.831116296953513,7169.88530735585,6.3680116428057,9.93441196936701,5.32388231316865,94.7739859446001,2.74274194067926,0.308379625544522,42.1818650434545,28.2537351888669,2.6788737648703,62.0541513787652,2.63481294818126,7040,0
"37003221950000",40.57314,-79.80714,2.50567288817367,7.45222163308795,51.1763811815662,49.0623311306032,105.596906600525,2.42665914764799,6.43359209163155,0.00017844757178807,73.9527069905788,22.5663376696234,8.74958626600305,1.9160698699422,14.2704130417243,1.27652272971655,1.74538570008319,0.831428957232694,7169.80971846238,6.36795220888033,9.93338601952105,5.32488418010042,94.7729781607406,2.74293104867141,0.30838443586697,42.1820626471724,28.2548249075459,2.67901122259912,62.0500461271179,2.6342846825376,7033,0
"37003221960000",40.57296,-79.80725,2.50566975381348,7.45226059203219,51.1763973357603,49.062331130664,105.597124598979,2.42666585081243,6.43354463120032,0.000178433035588416,73.9530302340549,22.566304229721,8.74955421472526,1.91605584143671,14.2676094290985,1.27652272982289,1.74558579284225,0.831205343847895,7169.8232262656,6.36831507863362,9.93389234999355,5.32262856561552,94.7752504425873,2.74264194622665,0.308409726850143,42.1828349991802,28.2534047362195,2.67926059373735,62.0451268273816,2.63412110148853,6960,0
"37003221970000",40.57306,-79.80732,2.5056679826208,7.45230979384085,51.1763915674755,49.0623311306435,105.59712646724,2.4266445552455,6.43379205684941,0.000178451041978514,73.9535751902653,22.5649608318864,8.74981804401993,1.91602180660125,14.2730045687669,1.27652272976897,1.74542484741476,0.831518847806517,7169.74752410283,6.36825476408809,9.9328638630253,5.32363656635722,94.7742364263908,2.7428318115621,0.308414488126293,42.1830313757725,28.2544989167683,2.67939765633832,62.0410224870227,2.63359266933726,6971,0
"37003222030000",40.62513,-79.7836,2.50637595075402,7.44304422766703,51.1719305346077,49.0623311140263,105.541261129385,2.42428173375399,6.45310818996037,0.000183080009012156,73.8818263051435,22.5305778457595,8.76563850021384,1.91827012196253,15.2188608430117,1.27652269976256,1.68913860396693,0.903653513855829,7163.35458081554,6.28115237941232,9.79302953630386,5.92133369241248,94.1755867243432,2.8285159490521,0.30260743628129,41.9814995825951,28.6415834707585,2.62817955883892,63.4895872190681,2.64649554522994,6715,0
"37003222040000",40.62512,-79.78371,2.50637315581438,7.44310353847523,51.171933326391,49.0623311140366,105.541362533135,2.42426512046747,6.453314986186,0.000183088529162363,73.8825398777181,22.5293342994051,8.76586513364794,1.91823370282323,15.221990336948,1.27652269976755,1.68909255682554,0.903811114417617,7163.29701768931,6.28125415339588,9.79233804549723,5.9211548299292,94.1757620740999,2.82855414235975,0.302621692199144,41.9820247728132,28.6418681717896,2.62838970299292,63.4830081445167,2.64594305108888,6690,0
"37003222100100",40.62501,-79.7837,2.50637330385354,7.44309234583749,51.1719412039318,49.0623311140657,105.541421718194,2.42427875381332,6.45316637405684,0.000183073807702027,73.8823179561274,22.5300739919523,8.76571282798526,1.91824927034414,15.2182377089848,1.27652269982821,1.6892312881896,0.903567780900016,7163.34199492495,6.28135935776167,9.79294301122982,5.92006659155347,94.1768459286358,2.82834569691465,0.302624639451323,41.9821747255788,28.6409551834325,2.6283629808453,63.4829747621414,2.64624455142168,6778,0
"37003222110000",40.62513,-79.7835,2.50637843429597,7.44299152004136,51.1719280627555,49.0623311140171,105.541171098727,2.42429651294753,6.4529242466396,0.000183072420939196,73.8811918315937,22.5316837950899,8.76543692986293,1.91830250278498,15.2160762520921,1.2765226997582,1.68917967355114,0.903513211086677,7163.40578130005,6.28106205902517,9.79364459905268,5.92149150483352,94.1754320061586,2.82848174487179,0.302594772638012,41.9810331300516,28.6413295393171,2.62799280690424,63.4954322391569,2.64698687561477,6783,0
"37003222220100",40.61601,-79.78676,2.50628239207132,7.4443020742047,51.1726927130266,49.0623311168466,105.550037661459,2.42480312239719,6.44837911236457,0.00018217405355155,73.8898325895452,22.5459013903135,8.76134751328432,1.91820144207881,15.0233945917052,1.27652270501178,1.69907008972267,0.889316797786296,7164.95885714088,6.29405318697273,9.81861008391844,5.82270606033807,94.2738331754094,2.81267631405343,0.303406829835294,42.0134644809231,28.5751658362195,2.63406118261893,63.2470129046834,2.65054392156778,6704,0
"37003222230100",40.61606,-79.78685,2.50628033776314,7.44435041326858,51.1726902226205,49.0623311168376,105.550075316344,2.42478398532845,6.44860588051282,0.000182188257256157,73.8904464395544,22.5446233912688,8.76159043144314,1.91816731380733,15.0277117965469,1.27652270498109,1.69895946344996,0.889563710527515,7164.89303426226,6.29406400746317,9.81778139516163,5.82320173984904,94.2733373174308,2.81281691679527,0.303415178351902,42.0137517137312,28.5758859125454,2.63422397840225,63.2424749076373,2.64999561708153,6755,0
"37003222240100",40.61611,-79.78693,2.50627824823398,7.44439909362157,51.1726881220193,49.0623311168299,105.5501171143,2.42476521366646,6.44882902591919,0.000182201936786862,73.8910607056388,22.5433601404084,8.76182985650425,1.91813334009145,15.0319091657102,1.27652270495315,1.69885437995176,0.889802229379749,7164.82837338185,6.29408126564564,9.8169703082813,5.82364559903672,94.272893119341,2.81294898881063,0.303423882931133,42.0140530289682,28.5765688801223,2.63438887118872,63.2378437053408,2.64945214045483,6749,0
"37003222250100",40.61609,-79.78667,2.50628489176367,7.44425663019683,51.1726840396519,49.0623311168144,105.549897417947,2.42480759556257,6.44830680529251,0.000182177552492358,73.8893592238723,22.5464631361832,8.76125961794617,1.91822293097428,15.0234009884416,1.2765227049602,1.69900305879459,0.889358749779691,7164.97694568012,6.29387043847273,9.81875376352241,5.82373862327262,94.2728042407818,2.81280144177962,0.303390886460157,42.0128682985344,28.5756308534373,2.6338816023526,63.2528844808035,2.65082511946528,6732,0
"37003222270100",40.6162,-79.78684,2.50628070510131,7.44435404796194,51.1726799196849,49.0623311167995,105.549981873652,2.42477012315006,6.44875241088941,0.00018220480623366,73.8905882849477,22.5439392483333,8.76173780302427,1.91815500480289,15.0317702707795,1.27652270490491,1.69879405687913,0.889834045205836,7164.84785520996,6.29390636644428,9.81713546559083,5.82461513299712,94.2719270976732,2.81306390841497,0.303408373689505,42.0134737702811,28.5769888041257,2.63421187945467,63.2436060017686,2.64973890873644,6704,0
"37003222300000",40.6343,-79.75398,2.50713800923139,7.42747585651799,51.1705350995929,49.0623311090095,105.508577146218,2.42802040819231,6.40502212611081,0.000181797436973854,73.6896426888821,22.8304805822786,8.71244730666371,1.92739988130774,14.647297963734,1.27652269364583,1.69153622677259,0.878610512463825,7176.07049905225,6.24512505612912,9.9415555137042,6.0569576874062,94.0409042933508,2.83239237276714,0.298466964527548,41.8240586746357,28.6327167738469,2.57244126493149,65.3475591084085,2.78096962633746,6779,0
"37003222310100",40.63438,-79.75398,2.50713792713911,7.42748133661217,51.1705289396672,49.0623311089868,105.508529029776,2.42801101437987,6.40512403317994,0.000181808546096729,73.6897714031244,22.8299718575727,8.71255151040149,1.92738915400745,14.6500741453641,1.27652269359917,1.69143488240541,0.878792531555954,7176.03790670533,6.2450523096107,9.94115885001047,6.05775557119518,94.0401171285841,2.83255237930142,0.298465073933735,41.8239180445699,28.633373281771,2.57246544922849,65.3483385230911,2.78075013593039,6779,0
"37003222320000",40.63446,-79.75399,2.50713784967369,7.42748674623564,51.1705227211381,49.0623311089639,105.50848030808,2.42800157346715,6.4052263945171,0.000181819734401479,73.6898997271215,22.8294612689626,8.71265615191427,1.92737840654805,14.6528684401167,1.2765226935521,1.69133276307096,0.878975829730072,7176.00514907559,6.24497877313852,9.94076022150503,6.05856059231578,94.0393229260943,2.83271370127823,0.298463141505125,41.8237751567403,28.6340348076811,2.57248945777257,65.3491373704957,2.78052979015766,6758,0
"37003222330000",40.63447,-79.75385,2.50714128370135,7.42741506540523,51.1705188445698,49.0623311089509,105.5083530712,2.42802277875612,6.40496180618065,0.000181809382581014,73.6889405154781,22.8310551540816,8.71236830144825,1.92742445548186,14.6492468381455,1.27652269354291,1.69138483145184,0.878791516588187,7176.07577315562,6.24484741960704,9.94159443666214,6.05886323360418,94.0390184515272,2.83266071538158,0.298445530030038,41.8231259124473,28.6337360216857,2.57223264288699,65.3572710920729,2.78123784123923,6749,0
